Step,Grid,Goal,Move

1,"[5, 4, 2, 6, 0, 1, 8, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[5, 4, 2, 6, 1, 0, 8, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
3,"[5, 4, 2, 6, 1, 7, 8, 3, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
4,"[5, 4, 2, 6, 1, 7, 8, 0, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
5,"[5, 4, 2, 6, 1, 7, 0, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
6,"[5, 4, 2, 0, 1, 7, 6, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
7,"[0, 4, 2, 5, 1, 7, 6, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
8,"[4, 0, 2, 5, 1, 7, 6, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
9,"[4, 1, 2, 5, 0, 7, 6, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
10,"[4, 1, 2, 5, 7, 0, 6, 8, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
11,"[4, 1, 2, 5, 7, 3, 6, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
12,"[4, 1, 2, 5, 7, 3, 6, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
13,"[4, 1, 2, 5, 0, 3, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
14,"[4, 1, 2, 0, 5, 3, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
15,"[4, 1, 2, 6, 5, 3, 0, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
16,"[4, 1, 2, 6, 5, 3, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
17,"[4, 1, 2, 6, 0, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
18,"[4, 1, 2, 0, 6, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
19,"[0, 1, 2, 4, 6, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
20,"[1, 0, 2, 4, 6, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
21,"[1, 2, 0, 4, 6, 3, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
22,"[1, 2, 3, 4, 6, 0, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
24,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
25,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

